|--------------------|---------|
|may                 |   421   |
|--------------------|---------|
|however             |   417   |
|--------------------|---------|
|City                |   407   |
|--------------------|---------|
|over                |   374   |
|--------------------|---------|
|while               |   372   |
|--------------------|---------|
|th                  |   353   |
|--------------------|---------|
|about               |   351   |
|--------------------|---------|
|both                |   350   |
|--------------------|---------|
|Years               |   346   |
|--------------------|---------|
|people              |   345   |
|--------------------|---------|
|state               |   341   |
|--------------------|---------|
|century             |   340   |
|--------------------|---------|
|no                  |   338   |
|--------------------|---------|
|system              |   331   |
|--------------------|---------|
|well                |   317   |
|--------------------|---------|
|called              |   316   |
|--------------------|---------|
|States              |   308   |
|--------------------|---------|
|often               |   308   |
|--------------------|---------|
|so                  |   307   |
|--------------------|---------|
|music               |   304   |
|--------------------|---------|
|law                 |   303   |
|--------------------|---------|
|made                |   300   |
|--------------------|---------|
|I                   |   300   |
|--------------------|---------|
|them                |   299   |
|--------------------|---------|
|use                 |   298   |
|--------------------|---------|
|If                  |   287   |
|--------------------|---------|
|each                |   285   |
|--------------------|---------|
|up                  |   283   |
|--------------------|---------|
|where               |   282   |
|--------------------|---------|
|later               |   281   |
|--------------------|---------|
|Soviet              |   278   |
|--------------------|---------|
|United              |   274   |
|--------------------|---------|
|number              |   274   |
|--------------------|---------|
|three               |   274   |
|--------------------|---------|
|British             |   273   |
|--------------------|---------|
|any                 |   268   |
|--------------------|---------|
|under               |   266   |
|--------------------|---------|
|since               |   265   |
|--------------------|---------|
|then                |   261   |
|--------------------|---------|
|government          |   259   |
|--------------------|---------|
|early               |   258   |
|--------------------|---------|
|Although            |   257   |
|--------------------|---------|
|part                |   257   |
|--------------------|---------|
|being               |   250   |
|--------------------|---------|
|could               |   250   |
|--------------------|---------|
|through             |   250   |
|--------------------|---------|
|including           |   247   |
|--------------------|---------|
|like                |   246   |
|--------------------|---------|
|became              |   245   |
|--------------------|---------|
|before              |   243   |
|--------------------|---------|
|American            |   242   |
|--------------------|---------|
|Several             |   242   |
|--------------------|---------|
|because             |   240   |
|--------------------|---------|
|River               |   236   |
|--------------------|---------|
|German              |   233   |
|--------------------|---------|
|out                 |   233   |
|--------------------|---------|
|different           |   233   |
|--------------------|---------|
|year                |   226   |
|--------------------|---------|
|large               |   221   |
|--------------------|---------|
|left                |   221   |
|--------------------|---------|
|small               |   217   |
|--------------------|---------|
|work                |   217   |
|--------------------|---------|
|much                |   217   |
|--------------------|---------|
|Second              |   216   |
|--------------------|---------|
|will                |   212   |
|--------------------|---------|
|within              |   212   |
|--------------------|---------|
|him                 |   211   |
|--------------------|---------|
|Ford                |   208   |
|--------------------|---------|
|form                |   207   |
|--------------------|---------|
|still               |   207   |
|--------------------|---------|
|until               |   206   |
|--------------------|---------|
|include             |   205   |
|--------------------|---------|
|same                |   205   |
|--------------------|---------|
|Finland             |   204   |
|--------------------|---------|
|high                |   204   |
|--------------------|---------|
|language            |   203   |
|--------------------|---------|
|now                 |   200   |
|--------------------|---------|
|life                |   200   |
|--------------------|---------|
|Army                |   199   |
|--------------------|---------|
|Ali                 |   198   |
|--------------------|---------|
|French              |   196   |
|--------------------|---------|
|what                |   196   |
|--------------------|---------|
|among               |   196   |
|--------------------|---------|
|Liverpool           |   196   |
|--------------------|---------|
|another             |   193   |
|--------------------|---------|
|based               |   191   |
|--------------------|---------|
|south               |   191   |
|--------------------|---------|
|against             |   190   |
|--------------------|---------|
|population          |   189   |
|--------------------|---------|
|those               |   188   |
|--------------------|---------|
|Marvel              |   187   |
|--------------------|---------|
|even                |   187   |
|--------------------|---------|
|country             |   187   |
|--------------------|---------|
|long                |   186   |
|--------------------|---------|
|very                |   185   |
|--------------------|---------|
|area                |   184   |
|--------------------|---------|
|around              |   184   |
|--------------------|---------|
|Marx                |   184   |
|--------------------|---------|
|her                 |   184   |
|--------------------|---------|
|National            |   181   |
|--------------------|---------|
|did                 |   180   |
|--------------------|---------|
|common              |   180   |
|--------------------|---------|
|Churchill           |   180   |
|--------------------|---------|
|general             |   180   |
|--------------------|---------|
|Peter               |   180   |
|--------------------|---------|
|example             |   179   |
|--------------------|---------|
|public              |   176   |
|--------------------|---------|
|major               |   175   |
|--------------------|---------|
|found               |   175   |
|--------------------|---------|
|own                 |   174   |
|--------------------|---------|
|class               |   171   |
|--------------------|---------|
|military            |   171   |
|--------------------|---------|
|film                |   171   |
|--------------------|---------|
|North               |   170   |
|--------------------|---------|
|Napoleon            |   170   |
|--------------------|---------|
|name                |   169   |
|--------------------|---------|
|African             |   169   |
|--------------------|---------|
|salt                |   169   |
|--------------------|---------|
|modern              |   167   |
|--------------------|---------|
|align               |   166   |
|--------------------|---------|
|see                 |   164   |
|--------------------|---------|
|final               |   164   |
|--------------------|---------|
|power               |   163   |
|--------------------|---------|
|history             |   163   |
|--------------------|---------|
|end                 |   162   |
|--------------------|---------|
|began               |   161   |
|--------------------|---------|
|according           |   160   |
|--------------------|---------|
|Duke                |   160   |
|--------------------|---------|
|though              |   159   |
|--------------------|---------|
|due                 |   157   |
|--------------------|---------|
|point               |   157   |
|--------------------|---------|
|day                 |   157   |
|--------------------|---------|
|cities              |   156   |
|--------------------|---------|
|development         |   155   |
|--------------------|---------|
|western             |   154   |
|--------------------|---------|
|countries           |   153   |
|--------------------|---------|
|important           |   153   |
|--------------------|---------|
|period              |   153   |
|--------------------|---------|
|following           |   153   |
|--------------------|---------|
|few                 |   152   |
|--------------------|---------|
|set                 |   152   |
|--------------------|---------|
|West                |   151   |
|--------------------|---------|
|Education           |   151   |
|--------------------|---------|
|Germany             |   151   |
|--------------------|---------|
|game                |   151   |
|--------------------|---------|
|Captain             |   151   |
|--------------------|---------|
|Union               |   151   |
|--------------------|---------|
|four                |   150   |
|--------------------|---------|
|without             |   150   |
|--------------------|---------|
|John                |   149   |
|--------------------|---------|
|forces              |   148   |
|--------------------|---------|
|University          |   148   |
|--------------------|---------|
|using               |   148   |
|--------------------|---------|
|led                 |   147   |
|--------------------|---------|
|similar             |   147   |
|--------------------|---------|
|considered          |   146   |
|--------------------|---------|
|way                 |   146   |
|--------------------|---------|
|systems             |   145   |
|--------------------|---------|
|non                 |   145   |
|--------------------|---------|
|Propaganda          |   145   |
|--------------------|---------|
|usually             |   143   |
|--------------------|---------|
|France              |   142   |
|--------------------|---------|
|largest             |   141   |
|--------------------|---------|
|International       |   140   |
|--------------------|---------|
|series              |   139   |
|--------------------|---------|
|five                |   139   |
|--------------------|---------|
|Europe              |   139   |
|--------------------|---------|
|battle              |   138   |
|--------------------|---------|
|Black               |   138   |
|--------------------|---------|
|Delaware            |   138   |
|--------------------|---------|
|Popular             |   138   |
|--------------------|---------|
|political           |   137   |
|--------------------|---------|
|do                  |   137   |
|--------------------|---------|
|great               |   137   |
|--------------------|---------|
|less                |   137   |
|--------------------|---------|
|word                |   136   |
|--------------------|---------|
|objects             |   135   |
|--------------------|---------|
|group               |   135   |
|--------------------|---------|
|given               |   135   |
|--------------------|---------|
|company             |   135   |
|--------------------|---------|
|become              |   135   |
|--------------------|---------|
|book                |   134   |
|--------------------|---------|
|King                |   134   |
|--------------------|---------|
|Lung                |   133   |
|--------------------|---------|
|main                |   133   |
|--------------------|---------|
|Church              |   133   |
|--------------------|---------|
|President           |   133   |
|--------------------|---------|
|European            |   133   |
|--------------------|---------|
|Center              |   132   |
|--------------------|---------|
|sometimes           |   131   |
|--------------------|---------|
|built               |   131   |
|--------------------|---------|
|Times               |   131   |
|--------------------|---------|
|others              |   130   |
|--------------------|---------|
|manifold            |   130   |
|--------------------|---------|
|English             |   129   |
|--------------------|---------|
|books               |   128   |
|--------------------|---------|
|men                 |   128   |
|--------------------|---------|
|last                |   128   |
|--------------------|---------|
|land                |   126   |
|--------------------|---------|
|written             |   126   |
|--------------------|---------|
|thus                |   125   |
|--------------------|---------|
|Frederick           |   125   |
|--------------------|---------|
|play                |   125   |
|--------------------|---------|
|de                  |   125   |
|--------------------|---------|
|published           |   124   |
|--------------------|---------|
|school              |   124   |
|--------------------|---------|
|original            |   124   |
|--------------------|---------|
|term                |   123   |
|--------------------|---------|
|developed           |   123   |
|--------------------|---------|
|km                  |   122   |
|--------------------|---------|
|production          |   121   |
|--------------------|---------|
|place               |   121   |
|--------------------|---------|
|generally           |   119   |
|--------------------|---------|
|Old                 |   119   |
|--------------------|---------|
|must                |   119   |
|--------------------|---------|
|Roman               |   118   |
|--------------------|---------|
|back                |   117   |
|--------------------|---------|
|single              |   117   |
|--------------------|---------|
|best                |   117   |
|--------------------|---------|
|every               |   117   |
|--------------------|---------|
|Possible            |   117   |
|--------------------|---------|
|space               |   115   |
|--------------------|---------|
|control             |   114   |
|--------------------|---------|
|information         |   114   |
|--------------------|---------|
|Sea                 |   113   |
|--------------------|---------|
|take                |   113   |
|--------------------|---------|
|range               |   113   |
|--------------------|---------|
|million             |   113   |
|--------------------|---------|
|program             |   113   |
|--------------------|---------|
|almost              |   112   |
|--------------------|---------|
|literature          |   112   |
|--------------------|---------|
|make                |   111   |
|--------------------|---------|
|included            |   111   |
|--------------------|---------|
|hand                |   111   |
|--------------------|---------|
|Uranus              |   111   |
|--------------------|---------|
|species             |   111   |
|--------------------|---------|
|cancer              |   110   |
|--------------------|---------|
|airship             |   110   |
|--------------------|---------|
|Turkish             |   110   |
|--------------------|---------|
|Named               |   110   |
|--------------------|---------|
|theory              |   109   |
|--------------------|---------|
|took                |   109   |
|--------------------|---------|
|produced            |   109   |
|--------------------|---------|
|MS                  |   109   |
|--------------------|---------|
|web                 |   109   |
|--------------------|---------|
|order               |   109   |
|--------------------|---------|
|water               |   109   |
|--------------------|---------|
|We                  |   109   |
|--------------------|---------|
|air                 |   108   |
|--------------------|---------|
|airships            |   108   |
|--------------------|---------|
|wrote               |   108   |
|--------------------|---------|
|able                |   108   |
|--------------------|---------|
|rather              |   108   |
|--------------------|---------|
|held                |   108   |
|--------------------|---------|
|She                 |   107   |
|--------------------|---------|
|US                  |   107   |
|--------------------|---------|
|East                |   107   |
|--------------------|---------|
|Islands             |   107   |
|--------------------|---------|
|near                |   107   |
|--------------------|---------|
|today               |   107   |
|--------------------|---------|
|Finnish             |   107   |
|--------------------|---------|
|god                 |   107   |
|--------------------|---------|
|line                |   106   |
|--------------------|---------|
|style               |   106   |
|--------------------|---------|
|Central             |   106   |
|--------------------|---------|
|how                 |   106   |
|--------------------|---------|
|human               |   106   |
|--------------------|---------|
|structure           |   105   |
|--------------------|---------|
|death               |   105   |
|--------------------|---------|
|level               |   104   |
|--------------------|---------|
|seen                |   104   |
|--------------------|---------|
|continued           |   104   |
|--------------------|---------|
|players             |   104   |
|--------------------|---------|
|St                  |   104   |
|--------------------|---------|
|late                |   104   |
|--------------------|---------|
|areas               |   104   |
|--------------------|---------|
|support             |   103   |
|--------------------|---------|
|down                |   103   |
|--------------------|---------|
|region              |   102   |
|--------------------|---------|
|should              |   102   |
|--------------------|---------|
|various             |   102   |
|--------------------|---------|
|field               |   101   |
|--------------------|---------|
|view                |   101   |
|--------------------|---------|
|Family              |   101   |
|--------------------|---------|
|addition            |   101   |
|--------------------|---------|
|per                 |   101   |
|--------------------|---------|
|aircraft            |   101   |
|--------------------|---------|
|Boer                |   101   |
|--------------------|---------|
|Idaho               |   101   |
|--------------------|---------|
|further             |   101   |
|--------------------|---------|
|off                 |   100   |
|--------------------|---------|
|Society             |   100   |
|--------------------|---------|
|case                |   100   |
|--------------------|---------|
|Along               |   99    |
|--------------------|---------|
|social              |   99    |
|--------------------|---------|
|home                |   99    |
|--------------------|---------|
|Greek               |   99    |
|--------------------|---------|
|study               |   99    |
|--------------------|---------|
|women               |   99    |
|--------------------|---------|
|Polish              |   98    |
|--------------------|---------|
|March               |   98    |
|--------------------|---------|
|economic            |   98    |
|--------------------|---------|
|least               |   98    |
|--------------------|---------|
|Art                 |   98    |
|--------------------|---------|
|words               |   97    |
|--------------------|---------|
|Council             |   97    |
|--------------------|---------|
|together            |   96    |
|--------------------|---------|
|result              |   96    |
|--------------------|---------|
|September           |   96    |
|--------------------|---------|
|members             |   96    |
|--------------------|---------|
|hold                |   96    |
|--------------------|---------|
|terms               |   96    |
|--------------------|---------|
|Again               |   95    |
|--------------------|---------|
|especially          |   95    |
|--------------------|---------|
|civil               |   95    |
|--------------------|---------|
|children            |   95    |
|--------------------|---------|
|local               |   95    |
|--------------------|---------|
|research            |   95    |
|--------------------|---------|
|Mississippi         |   95    |
|--------------------|---------|
|himself             |   95    |
|--------------------|---------|
|legal               |   94    |
|--------------------|---------|
|said                |   94    |
|--------------------|---------|
|either              |   94    |
|--------------------|---------|
|person              |   94    |
|--------------------|---------|
|believed            |   93    |
|--------------------|---------|
|described           |   93    |
|--------------------|---------|
|groups              |   93    |
|--------------------|---------|
|just                |   93    |
|--------------------|---------|
|sculpture           |   92    |
|--------------------|---------|
|design              |   92    |
|--------------------|---------|
|northern            |   91    |
|--------------------|---------|
|II                  |   91    |
|--------------------|---------|
|process             |   91    |
|--------------------|---------|
|Britain             |   90    |
|--------------------|---------|
|October             |   90    |
|--------------------|---------|
|Free                |   90    |
|--------------------|---------|
|writing             |   90    |
|--------------------|---------|
|percent             |   90    |
|--------------------|---------|
|forms               |   90    |
|--------------------|---------|
|age                 |   90    |
|--------------------|---------|
|OpenBSD             |   89    |
|--------------------|---------|
|service             |   89    |
|--------------------|---------|
|standard            |   89    |
|--------------------|---------|
|religious           |   89    |
|--------------------|---------|
|type                |   89    |
|--------------------|---------|
|light               |   89    |
|--------------------|---------|
|trade               |   89    |
|--------------------|---------|
|Empire              |   89    |
|--------------------|---------|
|football            |   89    |
|--------------------|---------|
|manifolds           |   89    |
|--------------------|---------|
|EM                  |   89    |
|--------------------|---------|
|higher              |   88    |
|--------------------|---------|
|fantasy             |   88    |
|--------------------|---------|
|attack              |   88    |
|--------------------|---------|
|particularly        |   88    |
|--------------------|---------|
|December            |   88    |
|--------------------|---------|
|fact                |   88    |
|--------------------|---------|
|Anti                |   88    |
|--------------------|---------|
|troops              |   88    |
|--------------------|---------|
|Kingdom             |   88    |
|--------------------|---------|
|open                |   88    |
|--------------------|---------|
|source              |   87    |
|--------------------|---------|
|meaning             |   87    |
|--------------------|---------|
|Russia              |   87    |
|--------------------|---------|
|itself              |   87    |
|--------------------|---------|
|does                |   86    |
|--------------------|---------|
|ancient             |   86    |
|--------------------|---------|
|came                |   86    |
|--------------------|---------|
|tradition           |   86    |
|--------------------|---------|
|role                |   86    |
|--------------------|---------|
|low                 |   86    |
|--------------------|---------|
|body                |   85    |
|--------------------|---------|
|means               |   85    |
|--------------------|---------|
|Lord                |   85    |
|--------------------|---------|
|Party               |   85    |
|--------------------|---------|
|culture             |   85    |
|--------------------|---------|
|Once                |   85    |
|--------------------|---------|
|Recent              |   85    |
|--------------------|---------|
|Despite             |   85    |
|--------------------|---------|
|Cape                |   85    |
|--------------------|---------|
|works               |   85    |
|--------------------|---------|
|Community           |   84    |
|--------------------|---------|
|Instead             |   84    |
|--------------------|---------|
|right               |   84    |
|--------------------|---------|
|image               |   84    |
|--------------------|---------|
|students            |   84    |
|--------------------|---------|
|referred            |   84    |
|--------------------|---------|
|having              |   83    |
|--------------------|---------|
|six                 |   83    |
|--------------------|---------|
|short               |   83    |
|--------------------|---------|
|half                |   83    |
|--------------------|---------|
|team                |   83    |
|--------------------|---------|
|present             |   82    |
|--------------------|---------|
|created             |   82    |
|--------------------|---------|
|famous              |   82    |
|--------------------|---------|
|belt                |   82    |
|--------------------|---------|
|ship                |   82    |
|--------------------|---------|
|little              |   82    |
|--------------------|---------|
|individual          |   82    |
|--------------------|---------|
|Third               |   81    |
|--------------------|---------|
|independent         |   81    |
|--------------------|---------|
|Fight               |   81    |
|--------------------|---------|
|established         |   81    |
|--------------------|---------|
|Jesus               |   81    |
|--------------------|---------|
|making              |   81    |
|--------------------|---------|
|DNA                 |   81    |
|--------------------|---------|
|eventually          |   81    |
|--------------------|---------|
|gave                |   81    |
|--------------------|---------|
|CPU                 |   81    |
|--------------------|---------|
|formed              |   81    |
|--------------------|---------|
|Navy                |   81    |
|--------------------|---------|
|house               |   80    |
|--------------------|---------|
|far                 |   80    |
|--------------------|---------|
|Bible               |   80    |
|--------------------|---------|
|whether             |   80    |
|--------------------|---------|
|material            |   80    |
|--------------------|---------|
|Saladin             |   79    |
|--------------------|---------|
|capital             |   79    |
|--------------------|---------|
|Iguanodon           |   79    |
|--------------------|---------|
|current             |   79    |
|--------------------|---------|
|Laws                |   79    |
|--------------------|---------|
|died                |   79    |
|--------------------|---------|
|performance         |   78    |
|--------------------|---------|
|Fire                |   78    |
|--------------------|---------|
|lower               |   78    |
|--------------------|---------|
|Russian             |   78    |
|--------------------|---------|
|official            |   78    |
|--------------------|---------|
|thought             |   78    |
|--------------------|---------|
|father              |   78    |
|--------------------|---------|
|taken               |   77    |
|--------------------|---------|
|Africa              |   77    |
|--------------------|---------|
|change              |   77    |
|--------------------|---------|
|model               |   77    |
|--------------------|---------|
|campus              |   77    |
|--------------------|---------|
|project             |   77    |
|--------------------|---------|
|August              |   77    |
|--------------------|---------|
|located             |   77    |
|--------------------|---------|
|close               |   77    |
|--------------------|---------|
|earlier             |   77    |
|--------------------|---------|
|never               |   76    |
|--------------------|---------|
|property            |   76    |
|--------------------|---------|
|story               |   76    |
|--------------------|---------|
|decision            |   75    |
|--------------------|---------|
|significant         |   75    |
|--------------------|---------|
|William             |   75    |
|--------------------|---------|
|remained            |   75    |
|--------------------|---------|
|Next                |   75    |
|--------------------|---------|
|gas                 |   75    |
|--------------------|---------|
|natural             |   75    |
|--------------------|---------|
|player              |   75    |
|--------------------|---------|
|allowed             |   75    |
|--------------------|---------|
|disease             |   75    |
|--------------------|---------|
|outside             |   75    |
|--------------------|---------|
|town                |   74    |
|--------------------|---------|
|January             |   74    |
|--------------------|---------|
|parts               |   74    |
|--------------------|---------|
|man                 |   74    |
|--------------------|---------|
|character           |   74    |
|--------------------|---------|
|November            |   74    |
|--------------------|---------|
|England             |   74    |
|--------------------|---------|
|influence           |   74    |
|--------------------|---------|
|text                |   74    |
|--------------------|---------|
|speed               |   74    |
|--------------------|---------|
|you                 |   74    |
|--------------------|---------|
|nation              |   73    |
|--------------------|---------|
|particular          |   73    |
|--------------------|---------|
|come                |   73    |
|--------------------|---------|
|primary             |   73    |
|--------------------|---------|
|industry            |   73    |
|--------------------|---------|
|cases               |   72    |
|--------------------|---------|
|London              |   72    |
|--------------------|---------|
|America             |   72    |
|--------------------|---------|
|Iowa                |   72    |
|--------------------|---------|
|side                |   72    |
|--------------------|---------|
|Christian           |   72    |
|--------------------|---------|
|above               |   72    |
|--------------------|---------|
|June                |   72    |
|--------------------|---------|
|larger              |   72    |
|--------------------|---------|
|upon                |   71    |
|--------------------|---------|
|Throughout          |   71    |
|--------------------|---------|
|Algeria             |   71    |
|--------------------|---------|
|nature              |   71    |
|--------------------|---------|
|object              |   71    |
|--------------------|---------|
|themselves          |   71    |
|--------------------|---------|
|scholars            |   71    |
|--------------------|---------|
|atheism             |   71    |
|--------------------|---------|
|languages           |   70    |
|--------------------|---------|
|Hindi               |   70    |
|--------------------|---------|
|cause               |   70    |
|--------------------|---------|
|Henry               |   70    |
|--------------------|---------|
|theatre             |   70    |
|--------------------|---------|
|Iroquois            |   70    |
|--------------------|---------|
|problems            |   70    |
|--------------------|---------|
|cell                |   70    |
|--------------------|---------|
|required            |   70    |
|--------------------|---------|
|Island              |   69    |
|--------------------|---------|
|argued              |   69    |
|--------------------|---------|
|classical           |   69    |
|--------------------|---------|
|win                 |   69    |
|--------------------|---------|
|Schools             |   69    |
|--------------------|---------|
|planet              |   69    |
|--------------------|---------|
|young               |   68    |
|--------------------|---------|
|Eastern             |   68    |
|--------------------|---------|
|mass                |   68    |
|--------------------|---------|
|operation           |   68    |
|--------------------|---------|
|shown               |   68    |
|--------------------|---------|
|designed            |   68    |
|--------------------|---------|
|beginning           |   68    |
|--------------------|---------|
|George              |   68    |
|--------------------|---------|
|White               |   68    |
|--------------------|---------|
|won                 |   68    |
|--------------------|---------|
|version             |   68    |
|--------------------|---------|
|economy             |   68    |
|--------------------|---------|
|increase            |   68    |
|--------------------|---------|
|force               |   68    |
|--------------------|---------|
|July                |   68    |
|--------------------|---------|
|February            |   67    |
|--------------------|---------|
|special             |   67    |
|--------------------|---------|
|stage               |   67    |
|--------------------|---------|
|rock                |   67    |
|--------------------|---------|
|wide                |   67    |
|--------------------|---------|
|currently           |   67    |
|--------------------|---------|
|relatively          |   67    |
|--------------------|---------|
|Catholic            |   67    |
|--------------------|---------|
|Lake                |   67    |
|--------------------|---------|
|Across              |   67    |
|--------------------|---------|
|originally          |   67    |
|--------------------|---------|
|action              |   66    |
|--------------------|---------|
|energy              |   66    |
|--------------------|---------|
|specific            |   66    |
|--------------------|---------|
|position            |   66    |
|--------------------|---------|
|earth               |   66    |
|--------------------|---------|
|radio               |   66    |
|--------------------|---------|
|born                |   66    |
|--------------------|---------|
|numbers             |   66    |
|--------------------|---------|
|sent                |   66    |
|--------------------|---------|
|events              |   66    |
|--------------------|---------|
|round               |   65    |
|--------------------|---------|
|changes             |   65    |
|--------------------|---------|
|Hitler              |   65    |
|--------------------|---------|
|leading             |   65    |
|--------------------|---------|
|brain               |   65    |
|--------------------|---------|
|former              |   65    |
|--------------------|---------|
|building            |   65    |
|--------------------|---------|
|association         |   65    |
|--------------------|---------|
|available           |   65    |
|--------------------|---------|
|entire              |   65    |
|--------------------|---------|
|away                |   65    |
|--------------------|---------|
|Kuiper              |   65    |
|--------------------|---------|
|data                |   65    |
|--------------------|---------|
|show                |   64    |
|--------------------|---------|
|turn                |   64    |
|--------------------|---------|
|traditional         |   64    |
|--------------------|---------|
|enough              |   64    |
|--------------------|---------|
|might               |   64    |
|--------------------|---------|
|musical             |   64    |
|--------------------|---------|
|battleships         |   64    |
|--------------------|---------|
|allow               |   64    |
|--------------------|---------|
|technology          |   64    |
|--------------------|---------|
|Royal               |   64    |
|--------------------|---------|
|conditions          |   64    |
|--------------------|---------|
|Philosophy          |   64    |
|--------------------|---------|
|genes               |   64    |
|--------------------|---------|
|locomotive          |   64    |
|--------------------|---------|
|days                |   64    |
|--------------------|---------|
|Republic            |   64    |
|--------------------|---------|
|hands               |   64    |
|--------------------|---------|
|features            |   63    |
|--------------------|---------|
|member              |   63    |
|--------------------|---------|
|received            |   63    |
|--------------------|---------|
|Jewish              |   63    |
|--------------------|---------|
|private             |   63    |
|--------------------|---------|
|evidence            |   63    |
|--------------------|---------|
|replaced            |   63    |
|--------------------|---------|
|examples            |   63    |
|--------------------|---------|
|food                |   63    |
|--------------------|---------|
|soldiers            |   63    |
|--------------------|---------|
|Revolution          |   63    |
|--------------------|---------|
|total               |   63    |
|--------------------|---------|
|produce             |   62    |
|--------------------|---------|
|multiple            |   62    |
|--------------------|---------|
|played              |   62    |
|--------------------|---------|
|historical          |   62    |
|--------------------|---------|
|basis               |   62    |
|--------------------|---------|
|Niue                |   62    |
|--------------------|---------|
|provide             |   62    |
|--------------------|---------|
|AD                  |   62    |
|--------------------|---------|
|court               |   62    |
|--------------------|---------|
|Latin               |   62    |
|--------------------|---------|
|re                  |   62    |
|--------------------|---------|
|increased           |   62    |
|--------------------|---------|
|top                 |   62    |
|--------------------|---------|
|size                |   62    |
|--------------------|---------|
|movement            |   62    |
|--------------------|---------|
|Red                 |   61    |
|--------------------|---------|
|Instruction         |   61    |
|--------------------|---------|
|widely              |   61    |
|--------------------|---------|
|Paris               |   61    |
|--------------------|---------|
|units               |   61    |
|--------------------|---------|
|points              |   61    |
|--------------------|---------|
|complete            |   61    |
|--------------------|---------|
|code                |   61    |
|--------------------|---------|
|primarily           |   61    |
|--------------------|---------|
|soon                |   61    |
|--------------------|---------|
|true                |   61    |
|--------------------|---------|
|full                |   61    |
|--------------------|---------|
|Comics              |   61    |
|--------------------|---------|
|existence           |   61    |
|--------------------|---------|
|Southern            |   60    |
|--------------------|---------|
|followed            |   60    |
|--------------------|---------|
|front               |   60    |
|--------------------|---------|
|title               |   60    |
|--------------------|---------|
|camps               |   60    |
|--------------------|---------|
|films               |   60    |
|--------------------|---------|
|certain             |   60    |
|--------------------|---------|
|largely             |   60    |
|--------------------|---------|
|create              |   60    |
